Source,Target,weights
2,4,"Moment, Papa will get it working for you"
1,2,"Right have you got the idea now? Yes, I think so"
4,1,"Well, then can you dance sniff I've never tried right. Well tried now"
2,4,"I can smell winter in the air, Moomin, Papa."
6,2,"Snuffkin, come and dance with me."
2,6,"Hmm, Snuffkin, do you know anything about record players?"
1,2,"Oh, Moomin, you promise you'll be back on the first day of spring."
2,1,"So yes, all right, Moomin."
1,2,It's Moomin home.
2,1,Let's go.
1,2,What can we do?
2,1,"Can you take the ship down, movement?"
1,2,"Oh, why do you want to get off?"
2,1,I want to be on my own.
1,2,"Oh, please stay here."
2,1,"No, really, movement, please."
6,2,"Off for the winter, Asian Afghan."
2,6,Yes.
1,2,"Papa, Papa, Mama, Mama, Mama, what's wrong with me?"
2,1,Why not wait till tomorrow?
1,2,This is Papa's bathhouse. He built it himself and he'd be very glad to know you're using it.
2,1,"Little Mike, we're over here, huh?"
1,2,I guess the water must be low and there's a gap left there.
2,1,Little boy.
1,2,"Ow, that's hot moment."
2,1,"Praise the ball, Bob."
1,2,"Ah, this is great. I'm really starving. I hope there's lots."
6,1,"Hey, what? You're joking."
1,6,"Oh, so you spend all year going where the snow is?"
6,1,Not at all. Life should be a struggle.
2,6,"What? You don't mean you swim in this weather, do you?"
6,2,The water must be very close to freezing.
1,6,"There's some more in the cellar, but we've got cranberry up here if you'd like that."
6,1,"No, thanks. This will do for now."
1,6,Is everybody like you? Where you come from?
6,1,"Oh, I agree."
1,6,"Yes, I suppose I am."
6,1,Put it out of your mind.
1,6,Why do you think your brothers are wolves? Did someone tell you they were?
6,1,"Why don't you travel around with me, sorry, you?"
1,6,An igloo? You mean a house made of snow?
6,1,"Yes, that's exactly."
1,6,Mr. Brisk really loves this jam. He can't stop eating it.
6,1,That's the whole point. You don't have to. You just move your skis. He's his winking.
1,6,"Well, then if I learn to ski first, then I won't fall."
2,1,"Little mind has skis, too."
1,2,I don't think I like this. It's too steep. Can I practice on something a bit flatter?
6,1,"Well, maybe next time. Now then, I'll have a few rolls."
1,6,"You know, I think this hill is even steeper than the last one."
6,1,"Oh, stop it, please."
1,6,"What are you looking at, sorry, you?"
6,1,"Oh, hello, Mr. Bresch."
1,6,"Look, I'm sorry, but all the jam's gone."
6,1,"Oh, well, never mind. It was a great jam."
1,6,"I'm afraid I'm not very brave or strong, but if you'd let me stay with you."
6,1,"Oh, hello, little buggy. What are you doing here?"
2,6,That was spring breaking through the ice.
1,2,"I'm always right, aren't I?"
2,1,Snuffkin!
1,2,I had one of them away.
2,1,"What a good idea, Mumen."
1,2,"Well, it was so much fun the last time, wasn't it?"
6,1,I feel perfectly all right.
1,6,"Now, stinky, tell me which way does Snuffkin normally travel south?"
6,1,"Where are you taking him, Stinky? You can see he's not well."
1,6,"Is that really right, Moomin?"
6,1,You stay nice and warm in bed and I'll mix some of grandma's potion with honey for you.
2,6,Oh?
6,2,"Yes, you're Snuffkin."
2,6,Isn't that water still a little cold for that?
6,2,"Just think, I'll be the one that's set by Snuffkin's fire."
2,6,"Hmm, that's no big thing, little fella. It's a pretty chilly night out here."
1,2,"Oh, well, I haven't got one."
2,1,"Oh, come on. You do go on a bit, old fella. You just get warm now."
1,2,"Do you think, Snuffkin? Oh, I don't know whether I should ask you or I don't want to offend you."
2,1,"Well, choosing a name is important. I'd have to think carefully about that."
1,2,But it will be easy for you. You know everything.
2,1,Now listen to me. You can't look up to people too much if you want to be yourself. It's not right.
1,2,"But Snuffkin, you're so clever. You can do anything, anything at all. I know you can."
2,1,Now isn't that wonderful? What?
1,2,I'd love to have someone that missed me so much they were miserable until I came back.
2,1,"Well, perhaps I'm not going there. I might have somewhere else to visit instead."
1,2,"Oh, Moon will be very sad if you don't go back."
2,1,"Yes, but you've got to have time to be on your own as well."
1,2,Of course you have and I've taken up too much of yours now.
2,1,"Good night, little fella."
6,2,You remembered.
2,6,"Well, what do you think of TD Wu, my friend?"
1,2,TD Wu.
6,1,That's right. It's a wonderful name.
2,6,"Ah, good idea, TD Wu. About what I said before."
6,2,"Oh, I didn't take that seriously. You just got upset at something I said."
2,6,Maybe you do.
1,2,Moment will be happy. Say hello to everyone from TD Wu.
2,1,I will. And I'll tell them how it came about.
1,2,"That's where you keep your harmonica, isn't it, Snuffkin? It's really famous, you know?"
2,1,I didn't realize that.
1,2,Do you know? I've never ever heard any music.
2,1,Really? What would you like me to play?
1,2,"Anything. Oh, I know. What about Moon's favorite?"
2,1,Hmm? That's Snuffkin!
1,2,Does Moonman Papa want all of you to go away to this lighthouse?
2,1,"Yes, that will be good."
1,2,"Well, I guess that might have something to do with it."
2,1,"Well, it sounds a bit odd to me, Moonman."
1,2,"No, it's not."
2,1,We're going to live in a real lighthouse and save ships from the rocks and being wrecked terrible storms.
1,2,"Oh, he won't mind at all."
2,1,"Ah, but if you thought, Moonman, that might be exactly why he chooses to do it."
1,2,You mean that he might want to be on his own all the time?
2,1,"Well, some people like it like that."
1,2,Sometimes I like being on my own.
2,1,"Not for long, though."
1,2,It'll be a lot of fun.
2,1,"What, to a lonely lighthouse?"
1,2,Yes.
2,1,"How long would it take us to get their Moonman, Papa?"
1,2,But it looks so tiny.
2,1,"Well, it's a real fine day for sailing."
7,2,"Look, Snuff is still waving."
1,7,"It's no good shouting little Mai, he can't hear you."
3,1,"Of course we will be, Papa, if we carry on like this, perhaps we'll see the light from the lighthouse while it's still dark."
1,3,"Ah, this is the light."
3,1,"Papa, the wind's dropped."
1,3,"Stupid wind, I really wanted to see the lighthouse at night."
4,1,I thought I heard something.
1,4,What happened in the first place to make it become a ghost ship? That's what I wanna know.
4,1,"If it had been a real ship, we'd probably be sinking now."
1,4,We're doing very well.
4,1,What did I tell you?
1,4,"Dear, don't shout."
4,1,"Bunny, pair."
7,4,"Tell me, Moonman, but leave out the bits I wouldn't like."
3,7,"They're a bit strange, aren't they?"
1,3,They must live somewhere here on the island.
3,1,"Well, at least we can see the floor now."
1,3,"Nobody's cleaned here for a long time, that's for sure."
3,1,"Oh, that's awful."
4,3,"Unspeakable horror, please be quiet, little my."
1,4,"Oh, I hope not Papa."
4,1,He might have run out of rum and gone to get more.
7,4,"He just got more and more lonely and fed up, and then went off and got a girlfriend."
1,7,"Be careful, snuffkin."
3,1,"Look over there. There's something moving, but I can't see what it is."
1,3,What's up?
4,1,Don't be stupid.
1,4,"Oh, I have a look snuffkin. There must be something there. Please snuffkin, please."
4,1,Let me at them! Where are they? I'll teach them to spoil my dream!
3,4,"Are you going to scare it away, Papa?"
7,3,Mm-hmm.
4,7,Who are you?
1,4,I'll write it out for you. What's his name?
3,1,"Come on, let's go."
1,3,"Hello, my name is Moomin, and this is my friend Snuffkin."
3,1,Yeah.
4,3,Let me present our very own hand-built ghost ship.
1,4,"Yeah, sorry. I'm afraid that was me."
3,1,"Yes, all right."
1,3,"Oh, well, at least he looks like a ghost."
4,1,Ghosts look pretty silly when the sun's shining if you ask me.
3,4,Mama.
1,3,"What is it, Mum and Dia?"
3,1,Papa's gone fishing again.
1,3,He's not working on the lamp at all.
3,1,"What are you making, little boy?"
1,3,Happy birthday! Happy birthday to you!
5,1,"Like what, for instance, I think we've done everything one could possibly do"
1,5,"Well, can you think of anything except catching grasshoppers?"
7,1,"Oh no, it's from a woman Papa this time"
5,7,"It's your father's old girlfriend, of course"
7,5,Never
4,7,"Oh, how boring"
1,4,"Oh, don't worry, there's plenty of time for arranging a welcome party"
7,1,"Oh, why can't you tell if you're not an expert?"
5,7,"Oh, I wouldn't mind shouldering her burden"
7,5,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh"
5,7,"What I really need is a microscope and a laboratory. Hmm, and they're expensive, I guess. Yes, they are, and I don't have any money."
1,5,"Should be, it's full of golden coins."
3,1,I'd like you to meet us up in a minute.
1,3,She's very small for a daughter.
5,1,"Ridiculous, he knows nothing about money."
1,5,Really?
5,1,"Oh, sniff is a great friend of mine."
1,5,But hardly a member of the family.
7,1,"Hello, moment. And you must be on Jane."
1,7,"You maybe, but not to me."
5,1,"I'm a friend of Moomin, Aunt Jane."
1,5,"Oh, I do hope you'll be comfortable here."
5,1,Quite near here?
3,5,Yes!
1,3,"Oh, there's nobody here."
4,1,I know where Moomin Papa is right now.
1,4,"So you want some of my gold, who do you young lady?"
4,1,I couldn't care less about your silly gold.
7,4,"If I could find a small enough boyfriend, I'd be frivolous just like them too."
1,7,"Oh, so?"
7,1,It's perfectly good money and all in gold coins.
3,7,"Ah, ah, ah, ah."
7,3,and pretty paintings on the wall.
1,7,A party?
4,1,Not again.
7,4,Dear.
4,7,I'm so happy for you.
7,4,Darn.
4,7,I should have let us up better than flowers.
3,4,"Well, not very far. I'll be back right after mid-summer."
7,3,What's all that smoke? Is it the volcano and your father's memoirs?
4,7,Snork maiden?
7,4,"Yeah, the earthquake started."
3,7,I don't believe this.
1,3,What's happened to the kitchen and dining room?
7,1,Just because I fear.
5,7,"Boy, I'm sleepy."
7,5,What's this? Where am I? What's happened here?
1,7,"Moomin Papa, you've got to do something. Do something right away."
4,1,"If you hadn't, maybe we wouldn't be about to sink altogether."
5,4,Something will float by. Big enough to take all of us. We just have to wait.
4,5,Why didn't you say so before?
7,4,Why do you say that? What do you mean exciting? Do you mean interesting or do you mean scary little my?
4,7,"I don't like that. Look, every mirror has a chair in front of it."
7,4,This house was full of ladies and he chatted her a little mirror.
3,7,You're so right.
7,3,One look at you and he won't even notice anything else.
5,7,"You know, it's very bad for me to go hungry. I always feel unwell if I don't eat."
1,5,"Oh, but where on earth did you find them, sniff?"
5,1,In a football.
1,5,Did I hear someone call me an ugly thing just now?
3,1,Kings are murderers.
1,3,"Oh, and you are one of these actors?"
3,1,An actress.
1,3,This is no ordinary house.
3,1,And it is a great honor for you to be here at all.
1,3,Does this mean that we can stay here just for a while?
3,1,"Yes, until the actors return."
5,3,"You better stay here, you're bound to fall into the water."
4,5,Look who's talking!
1,4,"Do what you want, as long as you don't damage the theater to get here?"
3,1,"Don't whistle, you idiot!"
1,3,He was standing guard over a flying ship after all.
3,1,"No, they're trying to destroy the pamphor's box."
7,3,It's so lovely to be out in the fresh air with moon and a tree in blue.
3,7,I don't believe it.
1,3,That's just typical.
7,1,And how can we have drifted so far away?
4,7,"Oh, no!"
1,4,"Oh, little Mai!"
3,1,There shouldn't swim about like that.
1,3,"I told you so, the branch didn't break, did it?"
4,1,"It doesn't matter, I rather like this boat."
7,4,"It's getting dark, isn't it?"
1,7,"Of course, I've forgotten tonight's mid-summer eve!"
4,1,"Yeah, seems I was probably the luckiest one as usual."
7,4,A house!
3,7,Shall we go there?
7,3,At last!
3,7,My only relative.
4,3,Good health!
7,4,"Oh, please have some more. Oh, this is so nice."
4,7,"Oh, don't cry."
3,4,"Look over there, little lion."
4,3,"Whoa, I have."
7,4,Now we must pick nine flowers.
1,7,"Hey, Snorke maiden."
7,1,"But I tell you, we've done nothing wrong, nothing at all."
1,7,That's not true.
7,1,I can act very well.
5,7,I want the part that finds the treasure.
1,5,"No, that's impossible. We have no play."
7,1,"No trouble at all, my dear. Any number of acts."
1,7,They were even falling over the lake.
7,1,"Hmm, hmm. Let's see."
1,7,"I've got to see that one again. But who will guard my prisoners, I wonder?"
7,1,"Good idea. We love the theatre, so we won't try to run away, officer. I promise."
1,7,"Well, in that case, you won't be able to see the play."
7,1,"Well, then you can't go either, officer."
5,7,"Ah, please, woman, papa. I don't want to be just a lion's ugly behind."
1,5,His script should be ready now. We have to start practicing for the opening night tomorrow morning.
5,1,There are some things I don't like about this script.
1,5,"We certainly wouldn't bite anyone, obviously."
7,1,"But it feels nice and warm, and I love the color."
1,7,"We're real sorry too, but you don't need to worry because actually we're not going back to jail."
7,1,We've got other plans. We're going to the theater. Just see my parents play.
1,7,"Mom and Papa, Mom and Papa."
3,1,I've just read your script and I think you have a big problem.
1,3,Maybe one of us could stand behind something and sort of read their lines.
4,1,"Listen kids, you can be as noisy as you like out here but once we're at the dinner you have to be quiet."
7,4,We still have very far to go.
3,7,I'll put you out.
1,3,"Snorkemaiden, I'm so glad to see you."
7,1,Exactly what this theater needs.
1,7,"Moomin Papa, do you think we should thank the audience"
3,1,What a wonderful feeling to be flying like this.
2,3,We're much too high.
3,2,"This is okay, really."
7,3,"Well, I didn't."
1,7,"Is there some problem, snork?"
7,1,"Or it will just be an ordinary ship, not a flying ship."
1,7,"But you wouldn't care about that, would you? Who cares what other people think?"
7,1,"But I'm sure people will be very nice about it, even if it doesn't get off the ground."
3,7,You want me to be a pilot?
2,3,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no"
1,2,"Stinky, I'm going to steer that ship, is that perfectly clear? You're not to touch the wheel, I'm the pilot now. What on earth was that about? Wouldn't you find it difficult to steer it? Oh, no, it's real easy, but of course, I'd need to practice before the public demonstration. Is the snorke going to fly his own ship? He'll be there, but he has to stay down in the"
3,1,"Not natural for movements to fly about up in the air. Is it snuffkin? Quite right. What would you and the snorke do if things went wrong? We will be wearing parachutes, you know? Parachutes. You do know what they are, don't you, Papa? Of course I do. They come down from the sky like this, like this. Exactly, but of course, we won't need a parachute, because nothing will go wrong. And I will be the first flying ship pilot ever!"
1,3,"Oh. Hi there. Hello, my young man. Hello. How do you do? How do you do everybody? Hello, sir. I wonder if you can help me. Do you happen to know where the snorke's factory is? You mean the ship? I must see him. I'm most eager to have a look at his famous flying ship. How do you know about that? It's supposed to be very secret. The information must have leaked out somehow."
3,1,The adhesive tape that sticks only to itself. This is perhaps the greatest of all my latest inventions. Whatever is that? This is proper self a man powered fan. Infanible in Moomin weather. All these are my latest inventions.
1,3,"Well, we'll find out pretty soon. Maybe you don't realize it, but the snorke is pretty clever, you know."
4,1,"Well, how come you saw him? There's a crack that's just about wide enough for me, but I won't tell you where."
2,4,"Oh, stinky, stinky. We're flying at a height of just over 2,000 meters now."
1,2,"Well, it was sort of round like this."
7,1,"Oh, there he goes again."
1,7,"So you never saw it yourself, Mr. Hamlin?"
3,1,It has to be in the afternoon sunshine after heavy rain.
1,3,Going over lonely mountains and back would take at least two days.
3,1,"Oh, will you show me the way?"
1,3,Why not?
3,1,I think he wants to come along too.
5,3,You're very early.
1,5,"Oh, they're not really great walkers, are they?"
5,1,"But we aren't taking the shortcut, are we?"
1,5,How far is the forest of witches?
5,1,"And can you also tell us how long from one end of the forest to the other, Snuffkin?"
1,5,I wanted to go with them.
5,1,"Oh, this is a spooky forest."
3,5,Here.
5,3,"On your tree, then, I guess."
3,5,It's falling to wreck and ruin.
4,3,"Look around for dried spices, magic herbs, brums, sticks, and a black cat."
3,4,Let's get out of here.
2,3,Where are you off to anyway?
3,2,This is it isn't it yes it is where's the golden fish I really don't know I've never seen it either
1,3,oh it's deep down in here somewhere I can't see any fish anywhere
5,1,maybe it was a very funny joke the hamula doesn't show let's sit down and wait I'm sure the golden fish will appear for us I don't believe it do me
1,5,the hamula was certainly right hardly anyone has seen this golden fish and we're not gonna see it either
3,1,maybe somebody ate him years ago stinky be quiet please did you see it where did you see it
7,3,huh I saw a fish jump but I couldn't tell if it was golden it was much too far away with the sun over
5,7,your raft over there hey let's take it and go on to the middle of the lake but it's much too small for all of us
7,5,and then we'll both be very wealthy I think it was somewhere around here wasn't it or unless I
1,7,just have to sit and wait here we've no choice I'm not going home until I've seen it I'm happy to wait
5,1,all day you won't find it by looking up at the sky you know what fish like it in places where there
1,5,I hate fishing guess we better think about getting back otherwise we'll never get home before nightfall
7,1,I don't want to get lost on a raft in the dark on this lonely lake perhaps we were expecting too much
1,7,maybe your right snort maiden but I really thought we'd see it this is the most disappointing day of my
3,1,it's not going to stop
5,3,Pardon what?
3,5,What's the matter Papa?
1,3,You find anything?
7,1,I'll look somewhere else.
1,7,You've chosen the wrong words.
7,1,"But, but I have the book and you're not him."
3,7,You're not him.
1,3,"Ah, then you must have the power to make any wish come true."
3,1,What are we going to do about this spirit?
7,3,"Sorry, me."
3,7,why don't you let me give you my wish right now?
7,3,"Listen, moment."
1,7,weren't perfectly polished.
7,1,"Deepers, who's your rich friend?"
1,7,"My pearl necklace, extraordinarily beautiful pearls, 87 of them."
7,1,You stole it.
3,7,Doctor!
7,3,"Of course, Inspector. It was a present. I swear it."
3,7,That's a secret between me and Moomin.
7,3,A secret?
3,7,"I've never known them to lie before, Mrs. Philly John."
1,3,Just so.
4,1,You have to stop when I say so.
3,4,"Please stop me, I'm going to give it back to me."
7,3,I don't know who lives there.
3,7,But why on earth do you want the hobgoblin?
1,3,That bonfire looks inviting.
3,1,"Yes, winders on the way."
1,3,"If snuffkin says I could go with him,"
3,1,Could I ask you something?
1,3,But it makes me even sadder if I can't see goodbye properly.
3,1,You're right.
5,3,"What do you mean, funny?"
1,5,"Okay, I'll come have a look."
3,1,Be careful.
5,3,This is what a kite looks like.
1,5,"Well, why don't we repair it?"
7,1,Is it okay?
1,7,That's it!
5,1,What is it?
7,5,What did you say?
3,7,Listen carefully.
7,3,"When we fly the kite next time,"
5,7,It won't! Snorke is fixed it.
1,5,"Now then, do you want to do it, Moomin?"
7,1,This is getting bumpy. What's that? Let's see if there's something very strange happening on that kite.
1,7,You found her?
3,1,"Moomin, to go into hibernation and snuck into me for his trip south."
1,3,"But we were just off for a walk. I know. Well then, why are you going?"
3,1,"Moomin, do you mind if we come along with you? Of course not."
5,3,"You see, we thought you were probably plotting something secret and weren't letting any of us in on it."
1,5,"Oh, come on, we don't have any secrets from you. It's just that, well, you know what I mean."
7,1,"Well, I'm coming back here in winter to see it for myself."
1,7,"I'm not all that mad about the snow and the cold and dark, so I'll hibernate."
5,1,Sitting down.
7,5,For what? For grandma.
1,7,"But there are other rocks by the path, you know?"
7,1,Or there?
5,7,"Yes, I suppose so. It's not very far from here."
3,5,"Yes, she was an hour early."
7,3,"Where do you find all these children, my dear?"
3,7,I hear all alone and then they came along the path and waited to help.
7,3,"Well, don't just stand there, my dear. Let's go."
3,7,Come along.
1,3,So they don't exist?
7,1,Yes.
1,7,"This is nice for Moomin, too. Now he'll have Snorke Maiden to keep him company."
7,1,Bye.
1,7,"If she really is a witch, then what about the girl?"
3,1,"Yes, Snuffkin. We must."
1,3,Maybe the witch needed an innocent maiden to try out some potions to experiment on her.
4,1,Is that okay?
7,4,"It's very quiet, do you think there's anybody home?"
5,7,They disappeared.
7,5,"Don't worry, I've got a pretty good idea where they were heading for."
5,7,A real one?
7,5,Why don't we go there too?
3,7,Right.
7,3,How kind of you.
3,7,"Oh, this is too much."
7,3,"I'm sure that's just what you think, young man."
1,7,I'll do it for you.
3,1,I don't think that snake ever got bitten before.
7,3,I'll get another.
3,7,I'm very curious.
7,3,"Why are you free here, huh?"
1,7,"No, no, we're very sorry."
7,1,You said you'd visit these people?
3,7,Alicia.
7,3,I'd like you to go immediately if you please.
1,7,Everybody seems to be here
5,1,Hmm
1,5,"Ah, how did you know?"
5,1,What?
1,5,Who's showing her around the house
5,1,"No, she didn't tell the witch she was coming here"
7,5,"Ah, it's you, Snuffkin"
5,7,"Hi, how do you do Sniff?"
7,5,No
1,7,"Well, she could spell the night here, but of course tomorrow will be asleep for the winter, so..."
3,1,"Oh, hello, how are you?"
7,3,"Oh, my dear"
3,7,Can't I stay a little longer?
7,3,"And I told you, that's the trouble"
3,7,"They are disgustingly, signally good"
7,3,"It's really cold out here, and there's a lot more snow on the way"
3,7,"We understand each other now, don't we?"
1,3,Please keep quiet all of you
4,1,Huh?
3,4,"Oh, yeah, yeah, yeah, yeah!"
1,3,"Just what I thought, they're too heavy!"
7,1,"Don't worry, I'm happy to walk home, Grandma!"
3,7,"Don't be so ridiculous, child!"
7,3,You'll never make it!
4,7,I wish they'd sing to the ground so I could fly that room.
1,4,"Guess they're all right now, Mum and Papa."
7,1,"Oh, I forgot to thank them for asking me to stand at dinner."
3,7,"Well, I'm quite happy to help, but the path will certainly be a difficult one."
1,3,"Well, Christmas is almost coming and we don't have a fir tree yet."
7,1,I've got a long way to go.
2,7,Who was that?
1,2,I guess we must decorate the tree to make sure we keep Christmas happy.
7,1,"It will look fantastic on the tree, Papa."
3,7,"Mmm, that looks beautiful."
2,3,He will.
7,2,Imagine everyone in Moomin Valley being frightened.
3,7,You look sleepy.
1,3,"Yes, lovely."
3,1,Stop.
1,3,But there's no one who's just a spare.
3,1,Why don't you take a closer look at it?
1,3,That's not a broom.
4,1,What do you mean?
7,4,Huh?
1,7,"Did you say something, snorkeweider?"
7,1,Your mother's raspberry juice is really the best.
1,7,"He told me all about it last winter, snort maiden."
7,1,Wouldn't it be a good idea to stay up and wait for the sunrise?
3,7,Mom and I don't like this.
7,3,How many times from sight tell you you can't go visiting Moomin Valley.
3,7,Come on.
7,3,"If you want to learn to fly on this broom, Alicia,"
1,7,"Even if you fall, you can't hurt yourself on this soft snow."
7,1,Maybe going out wasn't such a good idea after all.
1,7,"Yes, and everything will be snowed up now to spring."
3,1,There's not much wood left in here.
7,3,Someone else must be burning it.
3,7,"Yes, but who and for what I wonder?"
7,3,I can feel it.
3,7,I'm scared.
7,3,We had a lot of fun here in the summer.
1,7,"Two, Tiki."
7,1,Oh.
1,7,That's all right.
7,1,Moman.
1,7,I thought it might be seeing there's no sun at all.
7,1,"Tell me, Grog."
1,7,"I nearly bumped into her, but I didn't touch her."
7,1,"I must have startled her, I guess."
2,7,"Oh, I was so scared."
7,2,"So am I, women."
1,7,Please tell me you're not serious.
7,1,Where's all that drumming noise coming from?
3,7,How long before everybody arrives?
7,3,I can't see them.
3,7,Oh.
7,3,I just know because they sometimes play them in the batch house as well.
3,7,What's she going?
7,3,But what's she doing?
1,7,"Hold on tight now, Snorkemaid, and I'll be careful."
7,1,Goodbye.
3,7,This time the movements have gone too far.
5,3,"Hello there, Mr. Hemielun."
1,5,I told you so.
5,1,I hate it when others are asleep while I'm up.
1,5,"Bet you anything, moment wakes up when Snuffkin returns."
5,1,I'll go with you.
7,5,"So, where are you going?"
3,7,I thought I'd take some time off to celebrate.
7,3,But what about your work?
3,7,And I know where.
7,3,I only want to see the Moomin's.
5,7,so don't tell anyone for the time being.
7,5,The best thing would be for me to talk to her first.
3,7,"I can hardly believe you could be so mean, Grandma."
7,3,"Calm down, my dear."
3,7,"Why, I did it all for you, Alicia."
7,3,You did it for me.
3,7,"And if I do see the moments, I won't be a witch till I'm 31."
7,3,"They are so disgustingly good, and if you want to be a witch,"
3,7,"Oh, Grandma, that's not a good idea."
7,3,You may be right.
3,7,You do have your harmonica with you?
7,3,"If you don't stop staring at me, my witchcraft won't be effective."
4,7,Hi!
2,4,"Why don't you listen to us, Moom and Papa?"
7,2,"Oh, my man!"
1,7,I can't.
3,1,"You heard it too, Mom and Papa."
1,3,"If you ask me, I believe they're the work of the witch."
3,1,"Goodness, what are you doing out here?"
1,3,They certainly are. Would you come with me and have a word with the witch?
3,1,"I'll tell you what I mean. What I mean is, I don't want to be seen talking with goody-goodies like the moments."
1,3,"No, we wanted to ask her something about that loud noise we hear every night."
3,1,I don't make explosions.
1,3,I really don't know.
3,1,"Why, as young man, a few days ago, I went all the way over to the beach to see what was happening."
1,3,"Thank you very much, Snork Maiden."
2,1,"Oh, of course."
1,2,and is going to be called Himmelensis.
7,1,"Oh, why do you say that?"
2,7,"But, of course."
7,2,Are they pretty?
2,7,Very pretty.
1,2,"Why don't we go and find out about those explosions tonight, huh?"
4,1,"Obviously, or I wouldn't come."
3,4,Why didn't you tell me so I could have come along?
7,3,Ever since I stopped coming to see you?
4,7,They're herbs.
7,4,That's right.
5,7,Oh dear. What does this matter with you?
1,5,"First, we must bring her fever down."
3,1,"Oh, dear. Is she unconscious?"
1,3,"Then why do you think she'd want to come to visit you, Hamilton?"
5,1,Certainly not. Not me.
1,5,"Here, you better take this movement."
3,1,"Well, then, Papa. Why don't you come with us?"
1,3,"All right, Papa. We'll find out about the bangs for you."
3,1,to see. Keep a sharp look out. Look over there. What is it?
