Index,Start,End,Text
1045,"01:05:40,280","01:05:43,280","Tari, though. And anyway, I'm the painter."
1046,"01:05:43,280","01:05:45,280","Come on, hurry up."
1047,"01:05:49,280","01:05:51,280","Moomin, Mama, should I cut it all out?"
1048,"01:05:51,280","01:05:54,280","Yes, please, not me."
1049,"01:06:07,280","01:06:09,280","Hey, feeling all right, Mr. Hemmielin?"
1050,"01:06:09,280","01:06:12,280","Yes, thank you. You're fixing the boat very quickly."
1051,"01:06:12,280","01:06:15,280","Yeah, we sure are. I should be finished very soon."
1052,"01:06:15,280","01:06:18,280","Yes, I'm sure it will."
1053,"01:06:18,280","01:06:22,280","That's what I was afraid of. What shall I do then, Sniffkin?"
1054,"01:06:22,280","01:06:25,280","Well, maybe you can start collecting something else. What you think?"
1055,"01:06:25,280","01:06:27,280","Something else, like what?"
1056,"01:06:27,280","01:06:30,280","Well, I don't know. Anything, really?"
1057,"01:06:30,280","01:06:31,280",How about butterflies?
1058,"01:06:31,280","01:06:35,280","No, my second cousin does that, and he's a complete idiot."
1059,"01:06:35,280","01:06:37,280",It has to be something interesting.
1060,"01:06:37,280","01:06:39,280",Ornements? Ornements?
1061,"01:06:39,280","01:06:41,280","Yeah, you could collect those forever."
1062,"01:06:41,280","01:06:42,280",Not scientific.
1063,"01:06:42,280","01:06:47,280","Well, it's up to you, but I think you really ought to collect something, Mr. Hemmielin."
1064,"01:06:54,280","01:06:57,280",Mama! Mama!ed!
1065,"01:06:58,280","01:07:01,280","Mama, quick, hurry up. We're going to launch the new boat."
1066,"01:07:01,280","01:07:04,280","All right, wait for me. I'm coming."
1067,"01:07:04,280","01:07:08,280","The sail, you men, it is perfect, Mama. Come on!"
1068,"01:07:09,280","01:07:14,280","Are you ready, everybody? I'll count to three, and then push as hard as you can."
1069,"01:07:14,280","01:07:17,280","One, two, three!"
1070,"01:07:18,280","01:07:19,280",Oh!
1071,"01:07:29,280","01:07:31,280",Oh!
1072,"01:07:33,280","01:07:37,280","And so, with their new boat finally repaired and uncleaned,"
1073,"01:07:37,280","01:07:41,280",Moomin and the others began to get very excited about their trip around the world.
1074,"01:07:41,280","01:07:46,280",Even Snork and Mr. Hemmielin were in unusually high spirits.
1075,"01:07:46,280","01:07:48,280",All aboard for a trial run.
1076,"01:07:53,280","01:07:55,280",I've decided what I'm going to collect.
1077,"01:07:55,280","01:08:00,280","Flowers, look, here's my first sample. It's a sweet fryer, Rosa Robiganosa."
1078,"01:08:00,280","01:08:03,280",That's great. Good for you.
1079,"01:08:03,280","01:08:09,280","Snork, Maiden, I just had a new idea for my flying ship."
1080,"01:08:09,280","01:08:12,280",I'm certain it'll work this time.
1081,"01:08:12,280","01:08:14,280","Of course it will, Snork. Good luck."
1082,"01:08:14,280","01:08:19,280","I'd better get on. All right, start paddling, everyone."
1083,"01:08:19,280","01:08:22,280","We'll be back soon, my dear Moomin, Mama."
1084,"01:08:22,280","01:08:27,280","Take as long as you like, Papa. I'll prepare something cold for when you get back."
1085,"01:08:27,280","01:08:30,280","One, two, one, two."
1086,"01:08:30,280","01:08:34,280","Away, away, into the deep blue yonder."
1087,"01:08:34,280","01:08:38,280","One, two, one, two."
1088,"01:08:44,280","01:08:51,280","They love the laughter, and they love the living, the Moomin's."
1089,"01:08:51,280","01:08:58,280",Believing in sharing and caring and giving the Moomin's.
1090,"01:08:58,280","01:09:02,280","They're always happy, and always at play."
1091,"01:09:02,280","01:09:09,280","The Moomin's are having fun day after day, the Moomin'sed."
1092,"01:09:09,280","01:09:19,280","They love the laughter, and they love the living, the Moomin's."
1093,"01:09:19,280","01:09:27,280",Believing in sharing and caring and giving the Moomin's.
1094,"01:09:27,280","01:09:31,280","They're always happy, and always at play."
1095,"01:09:31,280","01:09:38,280","The Moomin's are having fun day after day, the Moomin's."
1096,"01:09:38,280","01:09:48,280","The Moomin's, the Moomin's."
1097,"01:09:48,280","01:10:10,280",Here they are for one and all.
1098,"01:10:10,280","01:10:13,280",The Moomin's are about to call.
1099,"01:10:13,280","01:10:16,280",Come on and sit down here with me.
1100,"01:10:16,280","01:10:21,280",They're here for you on your TV. They are the Moomin's.
1101,"01:10:21,280","01:10:24,280",They are the Moomin's.
1102,"01:10:24,280","01:10:27,280","So come with me, give me your hand."
1103,"01:10:27,280","01:10:30,280",I'll take you up to Moomin land.
1104,"01:10:30,280","01:10:33,280",You can fly just like a bird.
1105,"01:10:33,280","01:10:36,280",Sing the best song ever.
1106,"01:10:36,280","01:10:38,280",They're with the Moomin's.
1107,"01:10:38,280","01:10:41,280",They're with the Moomin's.
1108,"01:10:41,280","01:10:53,280",They're with the Moomin's.
1109,"01:10:53,280","01:11:03,280",They're with the Moomin's.
1110,"01:11:03,280","01:11:13,280",They're with the Moomin's.
1111,"01:11:13,280","01:11:42,280","It was a lovely day, and Moomin, his family and friends,"
1112,"01:11:43,280","01:11:47,280",decided to go for a trip in the boat they'd found washed up on the beach.
1113,"01:11:47,280","01:11:53,280","They didn't know where they were going, and thought it would be much more fun that way."
1114,"01:11:53,280","01:11:56,280","Mama, we're not going away forever, you know."
1115,"01:11:56,280","01:11:57,280",I hope not.
1116,"01:11:57,280","01:11:59,280",I don't think we'll need all these pots and pans.
1117,"01:11:59,280","01:12:01,280",It's best to be prepared at sea.
1118,"01:12:01,280","01:12:03,280",What do you mean?
1119,"01:12:03,280","01:12:06,280","Well, you'll only complain if you don't get a hot meal."
1120,"01:12:06,280","01:12:07,280",I never complain.
1121,"01:12:07,280","01:12:11,280",And you know how hungry the sea air made you all last timeed we went out on a boat.
1122,"01:12:11,280","01:12:13,280",You would have been glad of food then.
1123,"01:12:13,280","01:12:16,280","Hmm, you got to rough it a bit if you wanted adventure."
1124,"01:12:16,280","01:12:22,280","Yes, but it will be more fun with coffee and pancakes."
1125,"01:12:22,280","01:12:33,280",Aren't you too ready yet?
1126,"01:12:33,280","01:12:35,280","Hello, Moomin."
1127,"01:12:35,280","01:12:37,280","Hi, Snorkvagan."
1128,"01:12:37,280","01:12:48,280","Uh, uh, uh, uh, uh, uh."
1129,"01:12:48,280","01:12:50,280",Must you use that ladder?
1130,"01:12:50,280","01:12:51,280",I'm all right.
1131,"01:12:51,280","01:12:54,280","Moomin, you're going to hurt yourself one of these days."
1132,"01:12:54,280","01:12:55,280",It's good practice.
1133,"01:12:55,280","01:12:57,280",It's Snork coming with us.
1134,"01:12:57,280","01:13:02,280",He says he hasn't got time for sailing boats at the moment.
1135,"01:13:02,280","01:13:06,280",I'd much rather a real sailing boat than a paper flying ship any day.
1136,"01:13:06,280","01:13:09,280",Are Mama and Papa ready yet?
1137,"01:13:09,280","01:13:12,280",They're packing a path of kitchen.
1138,"01:13:12,280","01:13:15,280","Oh, it's too full."
1139,"01:13:15,280","01:13:17,280",Have we got to take all that with us?
1140,"01:13:17,280","01:13:21,280","Uh, Mama thinks it's better to be safe than sorry and she's usually right."
1141,"01:13:21,280","01:13:22,280","Tell me, Moomin."
1142,"01:13:22,280","01:13:24,280",Where exactly are we going?
1143,"01:13:24,280","01:13:26,280",We haven't decided yet.
1144,"01:13:26,280","01:13:27,280",That's right.
1145,"01:13:27,280","01:13:29,280",Wait and see.
1146,"01:13:29,280","01:13:30,280",That's right.
1147,"01:13:30,280","01:13:31,280",Wait and see.
1148,"01:13:31,280","01:13:57,280",Mr. Hamulin.
1149,"01:13:57,280","01:13:58,280",Mr. Hamulin.
1150,"01:13:59,280","01:14:02,280",Have you found a rare plan for your collection yet?
1151,"01:14:02,280","01:14:04,280",Unfortunately not.
1152,"01:14:04,280","01:14:06,280",There are lots of these in Moomin Valley already.
1153,"01:14:06,280","01:14:07,280",Goodness.
1154,"01:14:07,280","01:14:09,280",Where are you taking all that?
1155,"01:14:09,280","01:14:10,280",We're going sailing.
1156,"01:14:10,280","01:14:14,280","How exciting, charting new seas and exploring desert islands."
1157,"01:14:14,280","01:14:15,280",Never know.
1158,"01:14:15,280","01:14:21,240",If I help
1159,"01:14:29,280","01:14:33,280",Captain the bridge!
1160,"01:14:33,280","01:14:35,280",Mount the yard arm!
1161,"01:14:35,280","01:14:37,280",Hankers away!
1162,"01:14:37,280","01:14:38,280",Sailors beware!
1163,"01:14:38,280","01:14:40,280",Slice the manbrace!
1164,"01:14:40,280","01:14:42,280",All hands on deck!
1165,"01:14:42,280","01:14:44,280",Full speed ahead!
1166,"01:14:44,280","01:14:45,280","Hey, Sniff."
1167,"01:14:45,280","01:14:46,280",Any sign of the movements?
1168,"01:14:46,280","01:14:47,280",Not yet.
1169,"01:14:47,280","01:14:49,280",It's a great day to go sailing.
1170,"01:14:49,280","01:14:51,280",I wonder where we're going.
1171,"01:14:51,280","01:14:53,280",I don't have any idea.
1172,"01:14:53,280","01:14:56,280",I don't actually like sailing.
1173,"01:14:56,280","01:14:58,280",Do you get sick?
1174,"01:14:58,280","01:14:59,280","Well, not really sick."
1175,"01:14:59,280","01:15:00,280",It's just that I can't swim.
1176,"01:15:00,280","01:15:03,280","And if it's rough, it frightens me and I panic a bit."
1177,"01:15:03,280","01:15:05,280",It looks like it's going to stay calm.
1178,"01:15:05,280","01:15:06,280",So don't worry.
1179,"01:15:06,280","01:15:07,280",Right.
1180,"01:15:07,280","01:15:08,280",That's the lot.
1181,"01:15:08,280","01:15:09,280","Now, all aboard."
1182,"01:15:09,280","01:15:13,280","Mama, little Mai, Sniffkin, Moomin, Snork Maiden,"
1183,"01:15:13,280","01:15:14,280",and Mr. Hamulin.
1184,"01:15:14,280","01:15:15,280",It looks like it's going to stay calm.
1185,"01:15:15,280","01:15:16,280",So don't worry.
1186,"01:15:16,280","01:15:17,280",Right.
1187,"01:15:17,280","01:15:18,280",That's the lot.
1188,"01:15:18,280","01:15:19,280","Now, all aboard."
1189,"01:15:19,280","01:15:24,280","Mama, little Mai, Sniffkin, Moomin, Snork Maiden,"
1190,"01:15:25,280","01:15:27,280",and Mr. Hamulin of course.
1191,"01:15:27,280","01:15:29,280",Isn't he a bit old for adventures?
1192,"01:15:29,280","01:15:30,280",Not at all.
1193,"01:15:30,280","01:15:32,280","No, Moomin Papa has promised to find a deserted island"
1194,"01:15:32,280","01:15:34,280",where I shall search for rare plants.
1195,"01:15:39,280","01:15:41,280","No, no, no, no, no."
1196,"01:15:47,280","01:15:49,280","Come on, Sniff, hurry up."
1197,"01:15:49,280","01:15:50,280",There's no room.
1198,"01:15:50,280","01:15:52,280","Don't be silly, Sniff."
1199,"01:15:52,280","01:15:53,280",Of course there is.
1200,"01:15:55,280","01:15:58,280","It looks very full, almost thinking."
1201,"01:15:58,280","01:16:00,280",There's no way this boat could sink.
1202,"01:16:00,280","01:16:02,280","Now, come on, get him."
1203,"01:16:02,280","01:16:03,280",Oh.
1204,"01:16:06,280","01:16:07,280",Really?
1205,"01:16:07,280","01:16:09,280",I promise it'll be all right.
1206,"01:16:09,280","01:16:10,280","Won't it, Papa?"
1207,"01:16:10,280","01:16:13,280","Well, if it stays like this, it will, Moomin."
1208,"01:16:14,280","01:16:16,280",I'll come next time.
1209,"01:16:16,280","01:16:17,280","Let's go, Moomin Papa."
1210,"01:16:17,280","01:16:19,280",He's just a scary cat.
1211,"01:16:21,280","01:16:23,280","We'll go without you then, Sniff."
1212,"01:16:23,280","01:16:25,280",I think that will be best.
1213,"01:16:25,280","01:16:28,280","Anyway, someone had better stay and look after Moomin House"
1214,"01:16:28,280","01:16:30,280",and it might just as well be me.
1215,"01:16:30,280","01:16:32,280",That's very thoughtful of you.
1216,"01:16:32,280","01:16:34,280",There's a pancake on the kitchen table
1217,"01:16:34,280","01:16:35,280",that you can have for lunch.
1218,"01:16:35,280","01:16:36,280","Thank you, Moomin Papa."
1219,"01:16:36,280","01:16:38,280",Have a nice trip.
1220,"01:16:43,280","01:16:45,280",I wish Sniff had come.
1221,"01:16:45,280","01:16:47,280",He's a big softy.
1222,"01:16:49,280","01:16:51,280","Well, he's not very good at swimming"
1223,"01:16:51,280","01:16:53,280",and he does eat rather a lot.
1224,"01:17:14,280","01:17:16,280","This is a life, isn't it, Mama?"
1225,"01:17:16,280","01:17:18,280","It certainly is, dear."
1226,"01:17:22,280","01:17:25,280","Oh, look, not a breath of wind."
1227,"01:17:25,280","01:17:27,280","Shall I start rolling, Papa?"
1228,"01:17:27,280","01:17:30,280","Yes, you'd better get Sniffkin to help you."
1229,"01:17:30,280","01:17:32,280","Aye-aye, Captain."
1230,"01:17:34,280","01:17:36,280",It's hardly moving.
1231,"01:17:36,280","01:17:38,280",You'll have to do better than that.
1232,"01:17:38,280","01:17:40,280",We're doing our best.
1233,"01:17:40,280","01:17:42,280","You too, Papa."
1234,"01:17:42,280","01:17:43,280",We're doing our best.
1235,"01:17:43,280","01:17:45,280",We're doing our best.
1236,"01:17:45,280","01:17:46,280",We're doing our best.
1237,"01:17:46,280","01:17:48,280",We're doing our best.
1238,"01:17:48,280","01:17:49,280",We're doing our best.
1239,"01:17:50,280","01:17:53,280",You too would be useless as galley slaves.
1240,"01:17:53,280","01:17:55,280","It's good that we're not then, isn't it?"
1241,"01:17:55,280","01:17:57,280","So then, what's your excuse?"
1242,"01:17:57,280","01:17:59,280",It's not easy rolling against the tide.
1243,"01:17:59,280","01:18:01,280",You try it.
1244,"01:18:01,280","01:18:05,280","No, dear, at this rate, I should be lucky to find one rare plant."
1245,"01:18:05,280","01:18:09,280","Well, Mr. Hamlin, you could always try collecting some seaweed instead."
1246,"01:18:09,280","01:18:11,280",There's plenty of that.
1247,"01:18:11,280","01:18:13,280","I have heard tales that if you whistle,"
1248,"01:18:13,280","01:18:16,280",those who perished at sea will send you a wind.
1249,"01:18:17,280","01:18:21,280","Land! Hoi! Look, Moomin, Papa!"
1250,"01:18:23,280","01:18:26,280",That's too small to be any good.
1251,"01:18:30,280","01:18:32,280",You're right.
1252,"01:18:33,280","01:18:37,280","Hey, look, Papa. We're moving again."
1253,"01:18:37,280","01:18:39,280",The tide's turned and the winds up.
1254,"01:18:43,280","01:18:45,280",What a beautiful island!
1255,"01:18:45,280","01:18:47,280","And a perfect place to land, too."
1256,"01:18:47,280","01:18:51,280","Oh, I bet this place has got some rare plants."
1257,"01:18:51,280","01:18:53,280",We'll be careful.
1258,"01:18:53,280","01:18:54,280",We'll be careful.
1259,"01:18:54,280","01:18:55,280",We'll be careful.
1260,"01:18:55,280","01:18:56,280",We'll be careful.
1261,"01:18:56,280","01:18:57,280",We'll be careful.
1262,"01:18:57,280","01:18:58,280",We'll be careful.
1263,"01:18:58,280","01:19:01,280","Oh, I bet this place has got some rare plants."
1264,"01:19:01,280","01:19:03,280",We'll be careful when you explore.
1265,"01:19:03,280","01:19:05,280",There could be wild animals there.
1266,"01:19:05,280","01:19:07,280","Now, if someone will go and collect some wood,"
1267,"01:19:07,280","01:19:09,280",I'll get a fire started.
1268,"01:19:09,280","01:19:13,280",I bet none of you will say no to coffee and pancakes.
1269,"01:19:13,280","01:19:15,280","Watch me, you land lovers."
1270,"01:19:15,280","01:19:17,280",I'll go and pull the boat ashore.
1271,"01:19:29,280","01:19:32,280","Hmm, I suppose you were right."
1272,"01:19:32,280","01:19:33,280",This will come in handy.
1273,"01:19:33,280","01:19:35,280","As I said, Papa, it's always better to rough it"
1274,"01:19:35,280","01:19:37,280",with a little bit of luxury.
1275,"01:19:37,280","01:19:40,280",I wonder if we're the first to set foot on the island.
1276,"01:19:43,280","01:19:45,280","Thank you, children."
1277,"01:19:45,280","01:19:47,280",Is there anything else you want us to do?
1278,"01:19:47,280","01:19:49,280","No, I don't think so."
1279,"01:19:49,280","01:19:51,280",Is it okay if I go explore the island?
1280,"01:19:51,280","01:19:53,280","Of course, off you go."
1281,"01:19:53,280","01:19:55,280","Coming, snort, Maida."
1282,"01:19:55,280","01:19:57,280",I'll stay and help Moomin Mama with the cooking.
1283,"01:19:58,280","01:20:00,280","Mama, you said we needed firewood."
1284,"01:20:00,280","01:20:01,280",Is this enough?
1285,"01:20:01,280","01:20:03,280",My goodness for a lot.
1286,"01:20:07,280","01:20:10,280","You know, I don't think anyone lives on this island."
1287,"01:20:10,280","01:20:14,280",I haven't seen anyone unless they're hiding in the bushes.
1288,"01:20:14,280","01:20:16,280",I've seen someone.
1289,"01:20:16,280","01:20:17,280",Oh yeah?
1290,"01:20:17,280","01:20:18,280",Who?
1291,"01:20:18,280","01:20:19,280","Well, they weren't very big."
1292,"01:20:19,280","01:20:21,280","What do you mean, this big?"
1293,"01:20:21,280","01:20:23,280","Well, same as me."
1294,"01:20:23,280","01:20:24,280",What did they look like?
1295,"01:20:24,280","01:20:27,080",Sort of white and ghostly and not very friendly looking
1296,"01:20:27,080","01:20:28,080","either, Moomin."
1297,"01:20:28,080","01:20:31,080","Well, you probably just thought you saw something a little mic."
1298,"01:20:31,080","01:20:33,080",I did see them.
1299,"01:20:33,080","01:20:34,080",I did too.
1300,"01:20:34,080","01:20:35,080",Keep your hair on.
1301,"01:20:35,080","01:20:37,080",I'm not saying you didn't see anything.
1302,"01:20:40,080","01:20:43,080","Goodness, this is magnificent."
1303,"01:20:43,080","01:20:45,080","Oh, what a find."
1304,"01:20:53,080","01:20:55,080",And what's this?
1305,"01:20:58,080","01:21:00,080","Well, well, well."
1306,"01:21:00,080","01:21:03,080",I've never seen such rare and beautiful plants.
1307,"01:21:28,080","01:21:29,080",Oh.
1308,"01:21:38,080","01:21:39,080","Well, what's this?"
1309,"01:21:39,080","01:21:41,080","Goodness, it's a perimeter."
1310,"01:21:41,080","01:21:42,080","Now, let's see."
1311,"01:21:42,080","01:21:43,080",Rain and storm.
1312,"01:21:43,080","01:21:45,080",Probably broken.
1313,"01:21:53,080","01:21:54,080","Oh, hello."
1314,"01:21:54,080","01:21:56,080",Who are you?
1315,"01:21:56,080","01:21:57,080","Oh, I see."
1316,"01:21:57,080","01:21:59,080","This is your perimeter, isn't it?"
1317,"01:21:59,080","01:22:00,080","Now, watch it."
1318,"01:22:00,080","01:22:02,080","Mind you don't travel on those flowers, will you?"
1319,"01:22:06,080","01:22:08,080","Oh, no, no, no."
1320,"01:22:08,080","01:22:09,080",They're coming to get me.
1321,"01:22:09,080","01:22:10,080",Don't go away.
1322,"01:22:10,080","01:22:11,080",Don't go away.
1323,"01:22:14,080","01:22:17,080",I think what little my saw was a hatty fatter.
1324,"01:22:17,080","01:22:19,080",They're not ghosts.
1325,"01:22:19,080","01:22:20,080",Are they snuffkin?
1326,"01:22:20,080","01:22:22,080","No, they look kind of like it,"
1327,"01:22:22,080","01:22:24,080","but they're really harmless enough, Moomin."
1328,"01:22:25,080","01:22:27,080","Oh, leave me alone."
1329,"01:22:27,080","01:22:28,080","Oh, dear."
1330,"01:22:28,080","01:22:29,080",What on earth was that?
1331,"01:22:29,080","01:22:31,080",It sounded like Mr. Himulet.
1332,"01:22:38,080","01:22:40,080",Don't get away.
1333,"01:22:40,080","01:22:42,080","Oh, help me, please."
1334,"01:22:55,080","01:22:56,080",That's it.
1335,"01:22:56,080","01:22:57,080",That's what I saw.
1336,"01:22:57,080","01:22:59,080",It's Mr. Himulet.
1337,"01:22:59,080","01:23:00,080",Help!
1338,"01:23:00,080","01:23:01,080",Get me down.
1339,"01:23:01,080","01:23:03,080","Why are they after you, Mr. Himulet?"
1340,"01:23:03,080","01:23:04,080",What'd you do to them?
1341,"01:23:04,080","01:23:06,080",I don't know.
1342,"01:23:06,080","01:23:08,080","I just tapped on this post,"
1343,"01:23:08,080","01:23:10,080",and asked them to be careful with the flowers.
1344,"01:23:10,080","01:23:12,080",They seem a bit angry to me.
1345,"01:23:12,080","01:23:14,080","Oh, then I tapped on them."
1346,"01:23:14,080","01:23:16,080","Oh, no, no, no."
1347,"01:23:16,080","01:23:17,080","I just tapped on this post,"
1348,"01:23:17,080","01:23:19,080",and asked them to be careful with the flowers.
1349,"01:23:19,080","01:23:20,080",Is that ours?
1350,"01:23:20,080","01:23:21,080",They seem a bit angry to me.
1351,"01:23:21,080","01:23:23,080","Oh, then I tapped on them."
1352,"01:23:23,080","01:23:24,080","Oh, then I tapped on the morometer"
1353,"01:23:24,080","01:23:26,080","to check the weather, and they came at me."
1354,"01:23:26,080","01:23:28,080","Well, I don't think it's a flower's a mad about."
1355,"01:23:28,080","01:23:31,080",Maybe they thought you were trying to steal the morometer.
1356,"01:23:31,080","01:23:33,080",I don't want it to keep it.
1357,"01:23:33,080","01:23:36,080","My goodness, I'm collecting flowers, not the morometers."
1358,"01:23:36,080","01:23:38,080","Well, hang on."
1359,"01:23:38,080","01:23:40,080",I can't hang on much longer.
1360,"01:23:40,080","01:23:41,080","Hurry, please."
1361,"01:23:41,080","01:23:43,080",They don't look so easily frightened.
1362,"01:23:43,080","01:23:45,080","No, now let me think."
1363,"01:23:45,080","01:23:48,080","Hurry, I'm slipping."
1364,"01:23:50,080","01:23:52,080","I've got it, Mr. Himulet."
1365,"01:23:52,080","01:23:55,080","The hadifatners can't see or hear very well,"
1366,"01:23:55,080","01:23:57,080",but they are very sensitive.
1367,"01:23:57,080","01:23:59,080",We'll have to try and frighten them.
1368,"01:23:59,080","01:24:02,080",I suggest you shake the post as hard as you can.
1369,"01:24:02,080","01:24:04,080",Like this.
1370,"01:24:04,080","01:24:05,080",Harder.
1371,"01:24:05,080","01:24:09,080","Harder, Mr. Himulet."
1372,"01:24:09,080","01:24:11,080","Look, they can feel the ground moving."
1373,"01:24:11,080","01:24:15,080","Keep going, Mr. Himulet."
1374,"01:24:15,080","01:24:19,080",I'm getting really tired.
1375,"01:24:20,080","01:24:22,080",They're not going.
1376,"01:24:22,080","01:24:25,080",Are you sure this will work?
1377,"01:24:41,080","01:24:44,080","You can stop now, Mr. Himulet."
1378,"01:24:44,080","01:24:47,080",Mr. Himulet.
1379,"01:24:47,080","01:24:50,080","Hey, are you all right, Mr. Himulet?"
1380,"01:24:50,080","01:24:53,080",What is disgusting creatures?
1381,"01:24:53,080","01:24:56,080",I have a good mind to take their precious barometer.
1382,"01:24:56,080","01:24:59,080",I don't think that's such a good idea.
1383,"01:24:59,080","01:25:02,080","It's no good anyway, it's not working."
1384,"01:25:02,080","01:25:05,080","How do you know that, Mr. Himulet?"
1385,"01:25:05,080","01:25:08,080","Look, it's a beautiful day, isn't it?"
1386,"01:25:08,080","01:25:12,080","According to this barometer, it should be pouring down with rain."
1387,"01:25:13,080","01:25:18,080",This is the way to explore real home cooking.
1388,"01:25:18,080","01:25:20,080",It just takes a little thought.
1389,"01:25:20,080","01:25:24,080","And woman papa is always prepared, aren't you dear?"
1390,"01:25:24,080","01:25:28,080","Double zero, it can't get any lower than that."
1391,"01:25:28,080","01:25:29,080",What does that mean?
1392,"01:25:29,080","01:25:33,080","If it was working, it would mean being for a terrible storm."
1393,"01:25:33,080","01:25:39,080","I think the reading might be right after all, Mr. Himulet."
1394,"01:25:40,080","01:25:43,080",See the way the sky is darkening.
1395,"01:25:48,080","01:25:50,080",Look at those storm clouds.
1396,"01:25:50,080","01:25:52,080",We better go before it's too late.
1397,"01:25:52,080","01:25:54,080",But there won't be time to get home.
1398,"01:25:54,080","01:25:56,080","We'll be shipwreck moving, papa."
1399,"01:25:56,080","01:25:58,080",Surely there's still time.
1400,"01:25:58,080","01:26:01,080",We don't want to go back to moving valley yet.
1401,"01:26:01,080","01:26:04,080",We've only explored half the island.
1402,"01:26:04,080","01:26:07,080","Besides, you never know what we might find, Snort Maiden."
1403,"01:26:07,080","01:26:10,080",I wanted to get my hands on those happy fat nurse.
1404,"01:26:10,080","01:26:13,080","That's the last thing I wanted to do, little mind. The very last."
1405,"01:26:13,080","01:26:15,080",I think we ought to leave now.
1406,"01:26:15,080","01:26:17,080","What do you think, mama?"
1407,"01:26:17,080","01:26:20,080","Well, you're the captain, dear. It's up to you."
1408,"01:26:20,080","01:26:23,080","So I am. Now, let me think."
1409,"01:26:38,080","01:26:40,080","All right, we'll stay."
1410,"01:26:40,080","01:26:41,080","Oh, can we?"
1411,"01:26:41,080","01:26:44,080","Yes, but we must put the tent up before it starts raining."
1412,"01:26:44,080","01:26:45,080",What tent?
1413,"01:26:45,080","01:26:49,080",Always be prepared. That's my motto.
1414,"01:26:49,080","01:26:52,080",You're very clever to think of everything.
1415,"01:26:53,080","01:26:58,080","First, we must lower the sails and pull the boat up so that she's out of harm's way."
1416,"01:26:58,080","01:27:01,080","Yes, but we must put the tent up before it starts raining."
1417,"01:27:01,080","01:27:02,080",What tent?
1418,"01:27:02,080","01:27:05,080",Always be prepared. That's my motto.
1419,"01:27:05,080","01:27:08,080",The boat up so that she's out of harm's way.
1420,"01:27:24,080","01:27:25,080",That should do it.
1421,"01:27:27,080","01:27:31,080","Well done, everybody. It should be safe here."
1422,"01:27:31,080","01:27:35,080","Now, hurry with the tent. The storm's nearly here."
1423,"01:27:37,080","01:27:39,080","Are you all right, Mr. Himulan?"
1424,"01:27:39,080","01:27:41,080",You stay here and rest.
1425,"01:27:41,080","01:27:43,080",We'll manage without you.
1426,"01:27:43,080","01:27:45,080",I am a bit tired.
1427,"01:27:45,080","01:27:50,080","You get your breath back first, but don't forget to tie the boat to that tree before you come up."
1428,"01:27:50,080","01:27:53,080",It looks bad. A real humdinger.
1429,"01:27:53,080","01:27:55,080",You can trust me.
1430,"01:27:57,080","01:27:59,080","Right, let's get that tent up."
1431,"01:28:00,080","01:28:02,080","Oh, dear, what a day."
1432,"01:28:16,080","01:28:18,080","Oh, what's this here?"
1433,"01:28:22,080","01:28:25,080","Oh, yes."
1434,"01:28:26,080","01:28:29,080","Well, fans, see that I've never seen one of these before."
1435,"01:28:36,080","01:28:37,080",It's not good.
1436,"01:28:40,080","01:28:41,080",What's happening?
1437,"01:28:41,080","01:28:45,080",It's coming really fast. Look at the rain over the sea.
1438,"01:28:46,080","01:28:48,080",We're going to get soaked if we stay here.
1439,"01:28:48,080","01:28:49,080",Just a minute.
1440,"01:28:50,080","01:28:51,080",But we'll get wet.
1441,"01:28:52,080","01:28:54,080","I know, but it's so exciting."
1442,"01:28:55,080","01:28:57,080",Things which you have no control over.
1443,"01:28:57,080","01:29:00,080",You can see this great big storm coming towards you.
1444,"01:29:00,080","01:29:02,080",And you can't do anything about it.
1445,"01:29:04,080","01:29:05,080",No.
1446,"01:29:05,080","01:29:07,080",You have to time it just right.
1447,"01:29:09,080","01:29:11,080","When to make a run for shelter, you mean?"
1448,"01:29:12,080","01:29:14,080",I knew you'd understand.
1449,"01:29:19,080","01:29:21,080",I wonder what the Hattie Fatterners are doing.
1450,"01:29:21,080","01:29:23,080",Waiting for the thunderstorm.
1451,"01:29:23,080","01:29:24,080",Why?
1452,"01:29:25,080","01:29:28,080",Because they get energy from the electricity and the lightning.
1453,"01:29:28,080","01:29:29,080",Really?
1454,"01:29:30,080","01:29:31,080",That's it.
1455,"01:29:31,080","01:29:32,080",Come on.
1456,"01:29:50,080","01:29:52,080",I've never seen rain like this.
1457,"01:29:52,080","01:29:54,080","I've never seen enough, Momen."
1458,"01:29:56,080","01:29:57,080","You're dressed, Mom."
1459,"01:29:57,080","01:29:58,080",I know.
1460,"01:30:01,080","01:30:02,080",It's all right.
1461,"01:30:02,080","01:30:03,080",I'll look after you.
1462,"01:30:22,080","01:30:23,080",I know.
1463,"01:30:23,080","01:30:24,080",I know.
1464,"01:30:24,080","01:30:25,080",I know.
1465,"01:30:25,080","01:30:26,080",I know.
1466,"01:30:26,080","01:30:27,080",I know.
1467,"01:30:27,080","01:30:28,080",I know.
1468,"01:30:28,080","01:30:29,080",I know.
1469,"01:30:29,080","01:30:30,080",I know.
1470,"01:30:30,080","01:30:31,080",I know.
1471,"01:30:31,080","01:30:32,080",I know.
1472,"01:30:32,080","01:30:33,080",I know.
1473,"01:30:33,080","01:30:34,080",I know.
1474,"01:30:34,080","01:30:35,080",I know.
